"ZipCode","kwh_res","kwh_com"
10001,62998984,1036826929
10002,203074759,415426470
10003,141862187,837745987
10004,12235519,646582177
10005,48482354,453797396
10006,18859026,189632909
10007,27694771,484813917
10009,120087759,253803048
10010,106750413,634398916
10011,152509576,918091419
10012,65738776,350506252
10013,93075117,893682712
10014,98658492,472877366
10016,163384064,1080439090
10017,66009739,1465965445
10018,17819423,668104636
10019,146771280,1698540433
10021,217722569,527773855
10022,168133802,1553554261
10023,250980220,640343934
10024,187170391,387290281
10025,221271101,456595090
10026,66597072,149186449
10027,110646868,442735148
10028,161574790,389930100
10029,196310795,513761240
10030,52698735,99433219
10031,81318081,213376910
10032,81912256,385951289
10033,83616978,179273309
10034,61345133,149088167
10035,78061546,329345998
10036,85340436,1347748806
10037,47733991,127607060
10038,55922142,448745302
10039,61236074,95993861
10040,60772090,115380804
10044,64740412,107215360
10065,152958298,709302943
10075,100478909,212363494
10128,230740449,397921578
10280,34360936,60855520
10301,90624690,191301375
10302,38490230,80161204
10303,57786101,112740913
10304,104730002,160689435
10305,100295302,204563878
10306,156543485,259872972
10307,47654127,63035427
10308,82214155,105738256
10309,103841446,169833519
10310,58794925,128031727
10312,193296457,260607090
10314,233341645,477225138
10451,100947755,321323956
10452,106407156,267251185
10453,132176622,241061720
10454,81972693,166276757
10455,65439097,164968840
10456,144602967,261764095
10457,120557758,279027847
10458,110374526,287372809
10459,66516526,158402318
10460,107285267,200823746
10461,92758320,352158858
10462,121582387,256479816
10463,134332137,261339366
10464,11639773,26915940
10465,97881757,163585567
10466,116914196,199151280
10467,152986068,314776204
10468,112109598,264718265
10469,117438203,193073304
10470,26683897,49917641
10471,58521555,118824013
10472,105366693,176952048
10473,136589398,211833891
10474,15869203,252248648
10475,47986808,124226674
11001,8477791,9280476
11004,26454962,42575989
11040,4350778,53491209
11101,50816191,566100539
11102,62402511,217433009
11103,56370700,132618742
11104,41133996,84068809
11105,61297801,186222018
11106,71578247,171023535
11109,8372684,21350030
11201,136727494,878988035
11203,116443383,350511404
11204,137673052,217887912
11205,79232781,218191270
11206,168629957,340037238
11207,147962065,307247667
11208,136241195,264809212
11209,135862576,279886592
11210,131470580,240004423
11211,201187889,401005498
11212,163727263,298268886
11213,108898924,191650519
11214,131157455,242658740
11215,127233902,280526589
11216,88796158,173907291
11217,75842164,220711830
11218,117532943,200212278
11219,158666785,297571274
11220,113058062,334935411
11221,119416907,211145733
11222,61354039,313535189
11223,150324623,261229421
11224,102739166,191050236
11225,98263331,173096583
11226,141878120,283257731
11228,75638537,117348039
11229,161830185,257123868
11230,167330858,267220133
11231,75638669,163279397
11232,31292467,164145503
11233,111706997,181113304
11234,190796570,313150715
11235,153849816,379901057
11236,166148015,338607239
11237,57081235,174793249
11238,95506098,216180498
11239,3668967,25377647
11354,100096477,325149734
11355,118562745,269578644
11356,41685111,141291294
11357,107428080,179649915
11358,75254768,122830972
11360,67287928,98052672
11361,60850806,121094617
11362,48895453,85398893
11363,23054760,33033402
11364,74847097,118630240
11365,107243783,163098356
11366,29540643,54525363
11367,76525126,159344219
11368,129805169,303373692
11369,54672856,98995593
11370,44003844,219566104
11372,93753372,216265875
11373,126241568,333687989
11374,85687998,181873586
11375,157158497,296197058
11377,119921966,251865536
11378,63496590,238068849
11379,71530778,124036328
11385,151158529,322691007
11411,38114951,49151137
11412,64374311,85930092
11413,74932066,128520672
11414,76067385,109304939
11415,32887528,79315424
11416,33892735,62178469
11417,47739022,93738210
11418,52415040,131675634
11419,61733887,104277382
11420,69659533,570595272
11421,59616365,90714292
11422,56987738,79383006
11423,51829801,83522200
11426,36236020,61033833
11427,41354545,81758610
11428,31545662,53586115
11429,42678596,64900821
11432,92322401,323039096
11433,54164881,128785874
11434,85756918,189925750
11435,77593976,182783547
11436,30601738,54325863
11693,6828738,8526117
